Timestamp,AllAdopters,GeoAdopters,MnAdopters
2020-05-26 08:00:00-04:00,2455,60,1
2020-05-26 09:00:00-04:00,2922,73,5
2020-05-26 10:00:00-04:00,3828,98,12
2020-05-26 11:00:00-04:00,6486,146,16
2020-05-26 12:00:00-04:00,11969,251,27
2020-05-26 13:00:00-04:00,20159,366,35
2020-05-26 14:00:00-04:00,30784,514,42
2020-05-26 15:00:00-04:00,42710,628,48
2020-05-26 16:00:00-04:00,55835,756,57
2020-05-26 17:00:00-04:00,68575,867,66
2020-05-26 18:00:00-04:00,80098,965,73
2020-05-26 19:00:00-04:00,91544,1080,81
2020-05-26 20:00:00-04:00,101547,1202,90
2020-05-26 21:00:00-04:00,110669,1301,99
2020-05-26 22:00:00-04:00,119716,1404,110
2020-05-26 23:00:00-04:00,128138,1496,117
2020-05-27 00:00:00-04:00,136474,1625,124
2020-05-27 01:00:00-04:00,144030,1727,128
2020-05-27 02:00:00-04:00,152198,1804,131
2020-05-27 03:00:00-04:00,160639,1849,133
2020-05-27 04:00:00-04:00,168761,1871,133
2020-05-27 05:00:00-04:00,179040,1900,134
2020-05-27 06:00:00-04:00,189762,1934,136
2020-05-27 07:00:00-04:00,201362,1987,141
2020-05-27 08:00:00-04:00,214075,2104,150
2020-05-27 09:00:00-04:00,227500,2239,155
2020-05-27 10:00:00-04:00,241216,2382,158
2020-05-27 11:00:00-04:00,255138,2487,159
2020-05-27 12:00:00-04:00,269709,2631,164
2020-05-27 13:00:00-04:00,284085,2736,168
2020-05-27 14:00:00-04:00,297107,2820,171
2020-05-27 15:00:00-04:00,310976,2937,175
2020-05-27 16:00:00-04:00,329023,3030,177
2020-05-27 17:00:00-04:00,353769,3149,179
2020-05-27 18:00:00-04:00,378695,3249,182
2020-05-27 19:00:00-04:00,411582,3386,185
2020-05-27 20:00:00-04:00,452815,3536,187
2020-05-27 21:00:00-04:00,491298,3698,193
2020-05-27 22:00:00-04:00,529568,3867,200
2020-05-27 23:00:00-04:00,566623,4017,203
2020-05-28 00:00:00-04:00,604293,4113,209
2020-05-28 01:00:00-04:00,648450,4250,214
2020-05-28 02:00:00-04:00,689567,4354,221
2020-05-28 03:00:00-04:00,730011,4421,223
2020-05-28 04:00:00-04:00,768655,4477,224
2020-05-28 05:00:00-04:00,803158,4509,225
2020-05-28 06:00:00-04:00,839970,4535,225
2020-05-28 07:00:00-04:00,891083,4594,227
2020-05-28 08:00:00-04:00,944951,4686,230
2020-05-28 09:00:00-04:00,998262,4818,237
2020-05-28 10:00:00-04:00,1051775,5002,249
2020-05-28 11:00:00-04:00,1110465,5220,253
2020-05-28 12:00:00-04:00,1172597,5472,259
2020-05-28 13:00:00-04:00,1232568,5678,263
2020-05-28 14:00:00-04:00,1292755,5913,268
